word,stem
नेपाल,नेपाल
नेपालको,नेपाल
नेपालमा,नेपाल
नेपाली,नेपाल
नेपालीहरू,नेपाल
हिमाल,हिमाल
हिमालको,हिमाल
हिमालमा,हिमाल
हिमाली,हिमाल
हिमालहरू,हिमाल
पर्यटक,पर्यटक
पर्यटकहरू,पर्यटक
पर्यटकीय,पर्यटक
पर्यटन,पर्यटक
शिक्षा,शिक्षा
शिक्षाको,शिक्षा
शिक्षालाई,शिक्षा
शिक्षामा,शिक्षा
विश्वविद्यालय,विश्वविद्यालय
विश्वविद्यालयहरू,विश्वविद्यालय
प्रविधि,प्रविधि
प्रविधिको,प्रविधि
कृषि,कृषि
कृषिमा,कृषि
अर्थतन्त्र,अर्थतन्त्र
अर्थतन्त्रमा,अर्थतन्त्र
भाषा,भाषा
भाषाहरू,भाषा
साहित्य,साहित्य
साहित्यको,साहित्य
साहित्यमा,साहित्य
खेल,खेल
खेलकुद,खेल
खेलाडी,खेल
खेलाडीहरू,खेल
स्वास्थ्य,स्वास्थ्य
स्वास्थ्यको,स्वास्थ्य
अस्पताल,अस्पताल
अस्पतालहरू,अस्पताल
यातायात,यातायात
यातायातको,यातायात
सञ्चार,सञ्चार
सञ्चारको,सञ्चार
वातावरण,वातावरण
वातावरणको,वातावरण
जलवायु,जलवायु
जलवायुको,जलवायु
राजनीति,राजनीति
राजनीतिको,राजनीति
सरकार,सरकार
सरकारको,सरकार
संस्कृति,संस्कृति
संस्कृतिको,संस्कृति
इतिहास,इतिहास
इतिहासको,इतिहास
विकास,विकास
विकासमा,विकास
विकासको,विकास
